ticker,hidden_size,num_layers,learning_rate,window_size
ALUP11.SA,112,1,0.007192276916609338,40
AURE3.SA,64,3,0.001700048819594846,25
AXIA3.SA,112,1,0.0010244721578747576,30
AXIA6.SA,112,3,0.002240885629456377,40
BRAV3.SA,112,2,0.004024653790313807,25
CMIG4.SA,48,1,0.008806248023916385,30
CPFE3.SA,80,2,0.0027125678691416657,30
CPLE6.SA,64,1,0.007067658999048946,45
CSAN3.SA,48,3,0.006543112638271986,25
EGIE3.SA,128,1,0.00943083242318804,30
ENEV3.SA,128,2,0.00493448018326094,25
ENGI11.SA,80,1,0.006798302157638147,30
EQTL3.SA,96,3,0.006539005835573958,50
LIGT3.SA,48,1,0.005754878230755238,15
NEOE3.SA,32,3,0.0030896673965529592,20
PETR4.SA,80,2,0.00981430958055339,30
PRIO3.SA,128,1,0.009580494554010579,10
RAIZ4.SA,96,2,0.0021250242506962703,35
RECV3.SA,48,2,0.0038180925447301875,25
TAEE11.SA,96,1,0.008659264337894088,25
UGPA3.SA,128,2,0.0025790327969541288,10
VBBR3.SA,96,3,0.0035100991455687884,25
